"","gene","is.neg","geomean","Module"
"A2M","A2M",0,16.8078124885621,"lkp"
"ABCB1","ABCB1",0,33.7903146690001,"lkp"
"ABCF1","ABCF1",0,196.096093744494,"lkp"
"ABL1","ABL1",0,115.371239449092,"lkp"
"ACVR1B","ACVR1B",0,157.726563213355,"lkp"
"ACVR1C","ACVR1C",0,13.774847612383,"lkp"
"ACVR2A","ACVR2A",0,26.5428924138873,"lkp"
"ADA","ADA",0,124.920942935601,"lkp"
"ADAM12","ADAM12",0,14.2658775275905,"lkp"
"ADGRE1","ADGRE1",0,13.1768893132189,"lkp"
"ADM","ADM",0,48.4956418641807,"lkp"
"AICDA","AICDA",0,15.5707278381221,"lkp"
"AIRE","AIRE",0,13.7287884684284,"lkp"
"AKT1","AKT1",0,388.731729709327,"bkp"
"AKT2","AKT2",0,399.849846265412,"lkp"
"AKT3","AKT3",0,111.27973492199,"lkp"
"ALCAM","ALCAM",0,167.198672596928,"lkp"
"ALDOA","ALDOA",0,2248.37983057376,"lkp"
"ALDOC","ALDOC",0,171.51346057745,"lkp"
"ALK","ALK",0,9.18127086629925,"lkp"
"ALKBH2","ALKBH2",0,59.2812852829461,"lkp"
"ALKBH3","ALKBH3",0,74.2102636109948,"lkp"
"AMBP","AMBP",0,20.6134930214384,"lkp"
"AMER1","AMER1",0,26.8776533816245,"lkp"
"ANGPT1","ANGPT1",0,12.5113194920717,"lkp"
"ANGPT2","ANGPT2",0,10.0611747781068,"lkp"
"ANGPTL4","ANGPTL4",0,10.8101372470156,"lkp"
"ANLN","ANLN",0,182.330173606569,"lkp"
"ANP32B","ANP32B",0,2035.93339980069,"lkp"
"ANXA1","ANXA1",0,355.902770701199,"lkp"
"APC","APC",0,73.3026771195899,"lkp"
"APH1B","APH1B",0,34.2507113918244,"lkp"
"API5","API5",0,315.594250629436,"lkp"
"APLNR","APLNR",0,10.1749230484209,"lkp"
"APOL6","APOL6",0,45.7213237322978,"lkp"
"APP","APP",0,322.663704359566,"lkp"
"AQP9","AQP9",0,11.8107197961755,"lkp"
"AR","AR",0,22.8641009410299,"lkp"
"AREG","AREG",0,23.0968532133,"lkp"
"ARG1","ARG1",0,35.6001552053575,"bkp"
"ARG2","ARG2",0,29.0395716192371,"lkp"
"ARID1A","ARID1A",0,224.031590316945,"lkp"
"ARID1B","ARID1B",0,159.97288382077,"lkp"
"ARID2","ARID2",0,105.534790347887,"lkp"
"ARNT2","ARNT2",0,19.5891159808056,"lkp"
"ATF1","ATF1",0,108.68730931169,"lkp"
"ATF2","ATF2",0,121.027245000922,"lkp"
"ATF3","ATF3",0,172.065162613419,"lkp"
"ATG10","ATG10",0,29.6297960620624,"lkp"
"ATG12","ATG12",0,3817.32659283438,"lkp"
"ATG5","ATG5",0,69.8674342491221,"lkp"
"ATG7","ATG7",0,55.7215157229273,"lkp"
"ATM","ATM",0,139.801030851324,"lkp"
"ATR","ATR",0,77.9005172654725,"lkp"
"ATRX","ATRX",0,113.377642167318,"lkp"
"AXIN1","AXIN1",0,85.3618015560169,"lkp"
"AXL","AXL",0,24.7261783664407,"lkp"
"B2M","B2M",0,3821.41268423565,"bkp"
"BAIAP3","BAIAP3",0,39.051221331172,"lkp"
"BAMBI","BAMBI",0,56.0684233850436,"lkp"
"BAP1","BAP1",0,93.9787131998061,"lkp"
"BATF3","BATF3",0,69.7221154894298,"bkp"
"BAX","BAX",0,215.41240882162,"lkp"
"BBC3","BBC3",0,10.4887828323845,"lkp"
"BBS1","BBS1",0,58.6407689722095,"lkp"
"BCAT1","BCAT1",0,49.7550394573793,"lkp"
"BCL10","BCL10",0,111.260932855782,"lkp"
"BCL2","BCL2",0,62.9186143845075,"bkp"
"BCL2A1","BCL2A1",0,17.9150458504805,"lkp"
"BCL2L1","BCL2L1",0,227.4654112332,"bkp"
"BCL6","BCL6",0,52.2703157265622,"lkp"
"BCL6B","BCL6B",0,156.164724491434,"lkp"
"BCOR","BCOR",0,108.425822632053,"lkp"
"BDNF","BDNF",0,17.0820268803304,"lkp"
"BID","BID",0,38.7607733132427,"lkp"
