"","ZZ203-PP02-A01","ZZ203-PP02-A02","ZZ203-PP02-A03","ZZ203-PP02-A04","ZZ203-PP02-A05","ZZ203-PP02-A06","ZZ203-PP02-A07","ZZ203-PP02-A08","ZZ203-PP02-A09","ZZ203-PP02-A10","ZZ203-PP02-A11","ZZ203-PP02-A12","ZZ203-PP02-B01","ZZ203-PP02-B02","ZZ203-PP02-B03","ZZ203-PP02-B04","ZZ203-PP02-F10","ZZ203-PP02-F11","ZZ203-PP02-F12","ZZ203-PP02-G01","ZZ203-PP02-G02","ZZ203-PP02-G03","ZZ203-PP02-G04","ZZ203-PP02-G05","ZZ203-PP02-G06","ZZ203-PP02-G07","ZZ203-PP02-G08","ZZ203-PP02-G09","ZZ203-PP04-A01","ZZ203-PP04-A02","ZZ203-PP04-A03","ZZ203-PP04-A04","ZZ203-PP04-A05","ZZ203-PP04-A06","ZZ203-PP04-A07","ZZ203-PP04-A08","ZZ203-PP04-A09","ZZ203-PP04-A10","ZZ203-PP04-A11","ZZ203-PP04-A12","ZZ203-PP04-B01","ZZ203-PP04-B02","ZZ203-PP04-B03","ZZ203-PP04-B04","ZZ203-PP04-F09","ZZ203-PP04-F10","ZZ203-PP04-F11","ZZ203-PP04-F12","ZZ203-PP04-G01","ZZ203-PP04-G02","ZZ203-PP04-G03","ZZ203-PP04-G04","ZZ203-PP04-G05","ZZ203-PP04-G06","ZZ203-PP04-G07","ZZ203-PP04-G08"
"A2M",9.64291923457522,4.94984641431484,5.32341116928666,3.9008981538412,5.63021658499564,2.78598473489384,2.57808702243981,3.36461859182304,5.57926729432645,4.67103304757019,4.33836309863808,3.36299174551225,4.96940889563503,2.88641293575058,2.53342741668491,3.29355092931185,19.0667545143527,17.1616743018399,26.8343068154294,9.54469237506556,13.6084231417869,12.8166158768792,24.7774663074803,6.97779947939948,22.0745580161979,16.7347590430402,14.3542057841986,11.8169310595547,14.3624697777518,15.7471193553349,14.9350898844182,10.5209984339376,9.85093804075487,5.57219660189987,6.48028793372073,8.50314879958415,14.2892744987469,14.3955628060578,15.5838136628722,15.9017934741222,10.9046760357348,7.88492998601949,8.81903850558643,7.93680326648364,16.9566020721522,8.56431830752089,20.2417226027507,14.2926898977386,11.6777474606919,8.94487165552316,15.1219023937606,13.0336438862174,19.5615212094674,18.8278264455202,9.82419928862472,9.3095443630913
"ABCB1",107.59467777526,89.997207532997,88.4505240435322,72.8167655383691,40.8190702412183,8.35795420468152,5.58585521528626,6.09837119767926,101.821628121458,102.389044402739,94.8242220130894,64.5274041170162,49.6940889563503,11.283250567025,8.86699595839717,4.94032639396778,134.829192637209,140.153673465026,117.837608189495,45.8145234003148,23.3287253859205,12.8166158768792,143.158694220997,97.6891927115929,145.692082906906,66.9390361721609,32.02092059552,20.088782801243,110.480536751937,113.069479961257,103.982040893402,83.6786387071321,44.9606915706248,15.9426736109913,16.6233473082401,11.6918295994282,113.361577690059,118.142894753165,101.418469869486,75.4199347629799,53.7581397551139,17.6096769687769,14.4311539182323,13.1200217262281,142.826763607743,126.323695035933,115.979599777923,69.2978904132782,29.7594209482149,23.8529910813951,130.048360586342,123.476626290481,110.848620186982,66.7854975803357,26.6656837834099,18.1959276187693
"ABCF1",288.526293939789,281.241273540615,248.562352289,196.778640204878,180.870707792985,111.837387215024,113.865510157758,135.005320996899,268.037299598266,247.938434165025,236.75067195425,197.996139017034,175.076098015449,114.931715078069,114.426471653602,132.400747358337,298.258517045946,323.211532684651,275.343322106145,170.849993513674,151.636715008483,113.213440245767,247.774663074803,286.08977865538,247.235049781417,153.401957894535,156.792093950477,131.167934761057,275.648939196084,271.056972509863,258.968822712835,215.068781940261,158.372773116751,130.017920710997,125.09773228574,132.102490279254,271.972524626149,259.368329867766,257.503968619841,209.44933690201,165.674551700814,124.713309278875,117.988045461103,140.918751874302,267.392571137785,300.464833955524,230.317978804272,175.843396923693,153.317523112956,126.719015119911,270.17798943519,286.740165496783,218.436986839054,166.608501942433,138.942247081978,133.295748835171
"ABL1",158.093123240536,154.795196956755,140.456156235794,131.763670974191,117.530771211784,95.9174744442022,97.1079445118996,94.4196092330343,175.049511359492,158.815123617386,163.61826543435,142.296588231987,125.190877947728,100.762051575293,91.2033870006566,93.5368463924567,198.839011363964,193.068835895699,184.34002073208,168.941055038661,112.755506031949,119.621748184206,181.701419588189,188.400585943786,181.011375732823,167.347590430402,134.708700436326,125.25946923128,157.158563529631,148.95226013161,144.278604166455,123.805237385406,114.675022320582,94.1082092765312,94.245926688243,98.545420909466,159.325410661028,156.365595996835,149.6540835879,129.031695618591,125.882049675676,99.3501178238455,94.4706094462063,97.8332484276759,157.174657668795,164.863127419777,143.33327897083,122.570643668486,110.373548580088,105.474944938044,171.381560462621,176.29718309252,157.796271089704,126.466154992551,106.311870873332,102.828149101418
"ACVR1B",144.13626645365,141.295615826806,128.580854396617,109.225148307554,105.566560968668,57.7096837942295,48.5539722559499,57.8293820469585,140.644029711146,135.459958379536,122.713699075763,109.087044745054,108.944733481229,57.990659890989,45.6016935003283,64.2242431215812,186.581812033309,174.477022068706,140.005079037023,118.354185450813,81.6505388507218,100.396824368887,189.960575024015,153.511588546789,145.692082906906,164.558463923229,96.0627617865601,106.352379535993,222.894482897033,233.367145856111,217.545082844732,206.015829799431,158.625361271642,133.11358548983,133.550281764506,130.887754736456,243.870284778613,238.023185017405,240.683344348804,199.681092339335,171.987785195187,139.563260752545,136.962340427668,142.862458796706,285.001350212712,277.626651802136,266.424835338909,213.524124835913,167.632181290577,152.808224115188,274.210496740193,269.59063406755,271.253094104616,208.527058934346,172.976080331856,162.493865246685
"ACVR1C",10.1504412995528,11.6996369792896,7.78037017049588,5.63463066665951,8.44532487749345,5.96996728905823,2.57808702243981,5.04692788773456,10.693595647459,10.64995534846,9.29649235422445,6.72598349102453,8.98316223441718,2.62401175977325,2.53342741668491,4.28161620810541,17.7048434776132,20.0219533521465,18.6673438716031,22.9072617001574,7.77624179530682,14.9527185230257,22.024414495538,34.8889973969975,17.6596464129583,11.1565060286935,14.3542057841986,8.2718517416883,11.8766577008332,11.8748768909083,13.2443249918425,12.4783934914144,9.85093804075487,5.41741336295822,7.32554288159735,4.85894217119095,14.7655836487051,12.1617685775316,16.5732621494038,11.8127608664908,7.46109412971331,6.83360598788354,4.81038463941078,6.64099865154756,18.2609560777023,18.5560229996286,18.0534282673183,12.5602426374067,8.66413521277144,9.31757464116995,14.1137755675099,20.5794377150802,24.1258761583431,11.7229862773993,9.12247076800868,12.271672114984
"ACVR2A",53.0360557901636,47.2485339548234,46.6822210229753,29.4734527179113,26.0397517056047,7.16396074686988,6.87489872650617,10.514433099447,44.8666078252085,48.9524263385356,49.5812925558637,31.9484215823664,30.9632400420336,9.70884351116102,5.06685483336981,9.55129769500438,57.2002635430582,54.3453019558264,42.0015237111069,24.8162001751705,13.6084231417869,17.0888211691723,49.5549326149605,27.9111979175979,48.5640276356354,13.9456325358669,17.6667148113214,24.8155552250649,55.5164697178485,46.7250590707479,46.4960345458301,34.7437622702127,21.4699931657478,9.75134405332476,7.60729453088957,8.50314879958415,54.5373976702172,52.1218653322785,45.5146303804521,38.391472816095,28.1225855658425,11.3017329799613,9.48714748328238,7.4508765358826,50.2176292136815,51.3859098451253,41.5775923732178,27.2860443502283,15.0680612396025,13.4173074832847,53.4307217912877,60.3663506309018,46.2956001957397,25.2221825968289,9.4733350283167,9.73270547050455
"ADA",63.9477801871829,71.9977660263976,79.0321812055635,240.555386153541,360.333861439721,694.904192446378,658.701234233372,717.925492030241,51.6082224725196,71.9339089325807,109.388726701375,271.35139646602,378.057338291003,652.066922303654,682.336450893801,723.593139169814,66.7336408002344,121.561859638032,375.680295416011,739.713659067581,845.666295239619,1074.45963101171,52.3079844269027,160.489388026188,344.363105052687,733.540271386597,842.481462564888,916.993850221448,64.6311139998833,78.7355967766749,96.3735988768115,259.354845115672,431.925744863868,646.839155537209,651.409813163579,667.041654938804,59.3004891697995,70.4886178779386,84.3504834768165,266.695793408849,406.34266491054,635.788187872706,628.022439034187,624.091897668601,42.3915051803805,82.7884103060353,353.95660875621,611.986994712263,828.743368178137,875.479313284329,50.4063413125356,62.4242944024098,279.729753295384,634.462227013188,841.372496218646,853.092792545094
"ADAM12",15.4794229818181,19.3493996195943,14.3322608403872,13.0029938461373,7.741547804369,4.77597383124658,6.0155363856929,5.04692788773456,15.5754545299946,13.2657338550994,10.536024668121,6.93617047511902,9.17429334578774,3.41121528770523,3.80014112502736,3.62290602224304,34.047775918487,27.1726509779131,24.500888831479,16.2259770376115,11.6643626929603,8.54441058458611,16.5183108716535,20.9333984381985,17.6596464129583,8.36737952152011,6.62501805424552,5.90846552977738,20.9913019828681,23.4916042841881,20.2891787109077,14.4357885488912,10.8612906603194,5.88176307978321,6.90291540765904,6.68104548538755,26.4351578226817,17.6221544694847,20.2836939738971,15.9017934741222,13.7743276240861,9.33050048345641,7.75006414127291,5.99309634407948,22.826195097128,18.5560229996286,19.6946490188927,16.8913607882366,12.8078520536621,13.7900104689315,24.195043830017,29.4971940582815,21.5176733304142,15.9858903782718,9.82419928862472,13.5411554372238
"ADGRE1",10.4042023320417,5.8498184896448,6.14239750302307,9.10209569229613,10.5566560968668,5.17397165051713,5.15617404487963,5.67779387370138,10.4611261768621,8.40785948562634,5.57789541253467,6.51579650692997,8.21863778893483,4.72322116759186,5.48909273615062,6.91645695155489,20.4286655510922,22.8822324024531,16.3339258876527,20.9983232251443,50.5455716694945,8.54441058458611,22.024414495538,20.9333984381985,26.4894696194374,11.1565060286935,18.770884487029,15.3620103774211,13.8100670939922,14.7145213648212,8.73561861164078,7.82958022990712,8.58799726629909,10.2156937701498,6.48028793372073,10.3252521137808,11.1932650240184,10.1761737077306,9.15239850041699,8.85957064986809,9.75681540039433,9.19908498368939,7.88368593681212,8.26075442021768,14.3478940610518,9.27801149981429,12.582692428737,12.1271308223237,13.9379566466323,15.6535253971655,15.1219023937606,17.8355126864028,16.3012676745562,18.1173424287081,12.2802491107809,21.1580553706621
