"","x"
"1","A2M"
"2","ABCB1"
"3","ABCB4"
"4","ABCC3"
"5","ACAP1"
"6","ACER1"
"7","ACHE"
"8","ACP5"
"9","ACPP"
"10","ADAM12"
"11","ADAM23"
"12","ADAM28"
"13","ADAM33"
"14","ADAMDEC1"
"15","ADAMTS1"
"16","ADAMTS10"
"17","ADAMTS3"
"18","ADAMTS5"
"19","ADM"
"20","ADORA3"
"21","ADRB2"
"22","AGBL3"
"23","AIF1"
"24","AIM2"
"25","AK5"
"26","AKAP12"
"27","ALOX15"
"28","ALOX5"
"29","ALPL"
"30","AMPD1"
"31","ANGPT4"
"32","ANGPTL1"
"33","ANGPTL4"
"34","ANKRD31"
"35","ANKRD34B"
"36","ANKRD55"
"37","ANO5"
"38","ANXA3"
"39","AOC2"
"40","APLNR"
"41","APOBEC3A"
"42","APOBEC3G"
"43","APOBEC3H"
"44","APOL3"
"45","AQP1"
"46","AQP9"
"47","ARG1"
"48","ARHGAP22"
"49","ARHGEF15"
"50","ARHGEF4"
"51","ARSJ"
"52","ASGR1"
"53","ASGR2"
"54","ASPN"
"55","ATP1A3"
"56","ATP8B4"
"57","AXL"
"58","AZU1"
"59","B3GALT2"
"60","B3GNT7"
"61","BAALC"
"62","BACH2"
"63","BANK1"
"64","BARX2"
"65","BATF3"
"66","BCAT1"
"67","BCL11B"
"68","BCL2"
"69","BCL2A1"
"70","BEND6"
"71","BHLHA15"
"72","BHLHE41"
"73","BIRC3"
"74","BLK"
"75","BLNK"
"76","BMP2"
"77","BMP3"
"78","BMP4"
"79","BMP5"
"80","BMX"
"81","BNC2"
"82","BRSK2"
"83","BST1"
"84","BTLA"
"85","BTNL8"
"86","C10orf105"
"87","C12orf74"
"88","C1orf127"
"89","C1orf54"
"90","C1QA"
"91","C1QB"
"92","C1QC"
"93","C1S"
"94","C2"
"95","C3"
"96","C3AR1"
"97","C5AR1"
"98","C7"
"99","C8B"
"100","C8G"
"101","C9orf47"
"102","CA4"
"103","CA6"
"104","CA8"
"105","CACHD1"
"106","CACNA1D"
"107","CACNA1E"
"108","CACNA2D1"
"109","CACNA2D2"
"110","CACNA2D3"
"111","CACNB2"
"112","CADM1"
"113","CALCRL"
"114","CALN1"
"115","CAMP"
"116","CASP5"
"117","CAV1"
"118","CAV2"
"119","CBX2"
"120","CCDC102B"
"121","CCL1"
"122","CCL11"
"123","CCL13"
"124","CCL14"
"125","CCL17"
"126","CCL18"
"127","CCL19"
"128","CCL20"
"129","CCL22"
"130","CCL23"
"131","CCL28"
"132","CCL4"
"133","CCL5"
"134","CCL7"
"135","CCL8"
"136","CCNA1"
"137","CCND2"
"138","CCNJL"
"139","CCR10"
"140","CCR2"
"141","CCR3"
"142","CCR4"
"143","CCR5"
"144","CCR7"
"145","CCRL2"
"146","CD14"
"147","CD160"
"148","CD163"
"149","CD177"
"150","CD180"
"151","CD19"
"152","CD1A"
"153","CD1B"
"154","CD1C"
"155","CD1D"
"156","CD1E"
"157","CD2"
"158","CD200"
"159","CD200R1L"
"160","CD207"
"161","CD209"
"162","CD24"
"163","CD244"
"164","CD247"
"165","CD248"
"166","CD27"
"167","CD28"
"168","CD300A"
"169","CD300C"
"170","CD300E"
"171","CD33"
"172","CD34"
"173","CD36"
"174","CD37"
"175","CD38"
"176","CD3D"
"177","CD3E"
"178","CD3G"
"179","CD4"
"180","CD40"
"181","CD40LG"
"182","CD44"
"183","CD5"
"184","CD52"
"185","CD6"
"186","CD68"
"187","CD69"
"188","CD7"
"189","CD70"
"190","CD72"
"191","CD79A"
"192","CD79B"
"193","CD80"
"194","CD84"
"195","CD86"
"196","CD8A"
"197","CD8B"
"198","CD93"
"199","CD96"
"200","CDA"
"201","CDC20"
"202","CDH11"
"203","CDH12"
"204","CDH2"
"205","CDH23"
"206","CDH5"
"207","CDHR1"
"208","CDK14"
"209","CDKN1C"
"210","CDKN2B"
"211","CEACAM1"
"212","CEACAM3"
"213","CEACAM8"
"214","CEBPA"
"215","CES1"
"216","CFH"
"217","CFP"
"218","CHAD"
"219","CHI3L1"
"220","CHI3L2"
"221","CHIT1"
"222","CHL1"
"223","CHST15"
"224","CKB"
"225","CLC"
"226","CLCN4"
"227","CLEC10A"
"228","CLEC14A"
"229","CLEC17A"
"230","CLEC4A"
"231","CLEC4C"
"232","CLEC4D"
"233","CLEC4E"
"234","CLEC5A"
"235","CLEC6A"
"236","CLEC7A"
"237","CLEC9A"
"238","CLECL1"
"239","CLIC2"
"240","CMA1"
"241","CMKLR1"
"242","CMTM2"
"243","CNR1"
"244","CNR2"
"245","CNTN4"
"246","CNTNAP2"
"247","COBL"
"248","COCH"
"249","COL12A1"
"250","COL13A1"
"251","COL15A1"
"252","COL19A1"
"253","COL1A1"
"254","COL1A2"
"255","COL24A1"
"256","COL4A1"
"257","COL4A3"
"258","COL4A4"
"259","COL5A1"
"260","COL5A2"
"261","COL5A3"
"262","COL6A2"
"263","COL6A3"
"264","COL8A1"
"265","COL8A2"
"266","COLEC12"
"267","CORO2B"
"268","CPA3"
"269","CPM"
"270","CPNE5"
"271","CPNE7"
"272","CPXM1"
"273","CR2"
"274","CRABP2"
"275","CREB5"
"276","CRHBP"
"277","CRIP3"
"278","CRISP3"
"279","CRISPLD1"
"280","CRLF2"
"281","CRTAM"
"282","CRYBB1"
"283","CRYM"
"284","CSF1"
"285","CSF1R"
"286","CSF2"
"287","CSF3R"
"288","CSNK1A1L"
"289","CST7"
"290","CTGF"
"291","CTHRC1"
"292","CTLA4"
"293","CTNNA2"
"294","CTSG"
"295","CTSK"
"296","CTSW"
"297","CUX2"
"298","CX3CR1"
"299","CXCL1"
"300","CXCL10"
"301","CXCL11"
"302","CXCL12"
"303","CXCL13"
"304","CXCL14"
"305","CXCL3"
"306","CXCL5"
"307","CXCL6"
"308","CXCL9"
"309","CXCR1"
"310","CXCR2"
"311","CXCR3"
"312","CXCR4"
"313","CXCR5"
"314","CXCR6"
"315","CXorf57"
"316","CYBB"
"317","CYP11A1"
"318","CYP1B1"
"319","CYP24A1"
"320","CYP27A1"
"321","CYP2E1"
"322","CYP2J2"
"323","CYP2S1"
"324","CYP46A1"
"325","CYP4F3"
"326","CYTL1"
"327","CYYR1"
"328","DAB2"
"329","DACH1"
"330","DAPK2"
"331","DCHS1"
"332","DCN"
"333","DEFA4"
"334","DEFB1"
"335","DGKK"
"336","DKK1"
"337","DKK2"
"338","DKK3"
"339","DLL1"
"340","DLL4"
"341","DNAH6"
"342","DNAH8"
"343","DNAJC5B"
"344","DNASE1L3"
"345","DNTT"
"346","DOK7"
"347","DPEP1"
"348","DPEP2"
"349","DPP4"
"350","DPT"
"351","DPYSL3"
"352","DSC1"
"353","DSEL"
"354","DSG3"
"355","DTHD1"
"356","DTNA"
"357","DUSP2"
"358","DYTN"
"359","EBF1"
"360","EBI3"
"361","ECSCR"
"362","EDAR"
"363","EDN1"
"364","EFNA5"
"365","EGF"
"366","EGFL7"
"367","EGR1"
"368","EGR2"
"369","EHF"
"370","ELANE"
"371","ELOVL4"
"372","EMCN"
"373","EMID1"
"374","ENG"
"375","ENHO"
"376","ENPP3"
"377","EOMES"
"378","EPHB3"
"379","EPHB6"
"380","EPHX4"
"381","EPX"
"382","EREG"
"383","ERG"
"384","ETS1"
"385","ETV1"
