,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.OR.A5JA.01A.11R.A29S.07,2.727409975,0.800096891,2.660292119,7.379148485,3.426017681,1.812945124,1.965953938,3.24450592,2.242259843,4.139354887,2.789131716,4.486615561,0.803703677,0
TCGA.OR.A5J8.01A.11R.A29S.07,5.941448608,1.881664427,9.148952043,11.54438914,6.514026659,6.032618474,8.081437936,4.802642996,6.818799292,5.447985765,2.030051884,5.474961402,2.809654879,5.528946321
TCGA.P6.A5OF.01A.11R.A29S.07,2.913559717,0.854275224,3.442901307,7.263894471,3.253725812,1.741482136,2.754184354,3.892401042,2.815024689,3.441881812,0.866538939,1.562306477,0.373273651,1.563353406
TCGA.OR.A5KY.01A.11R.A29S.07,3.224866511,0.295872996,2.550548751,8.030896896,4.002955926,2.323324138,4.143349996,3.1709008,2.979656879,2.949534933,1.731775139,2.112007987,0.176257111,1.684190366
TCGA.OR.A5J2.01A.11R.A29S.07,3.415730231,1.656683348,5.885659021,7.788526171,3.628710054,3.927967918,4.438328214,2.085944577,3.345349465,4.042390443,1.979979185,4.500005892,0.325402422,0.8522386
TCGA.OR.A5JJ.01A.11R.A29S.07,3.750244349,2.177879875,3.972535402,6.211754431,4.269322185,4.048301093,5.652073382,1.810564164,4.734974586,4.399964016,1.389784039,3.349154864,1.633640724,2.857423709
TCGA.OR.A5LH.01A.11R.A29S.07,3.992778795,0.84016616,5.231522783,7.373405615,3.756832301,3.777088699,4.976098271,3.315319952,5.150008622,1.924897994,2.42335211,1.93787705,2.249203254,3.598639139
TCGA.OR.A5J5.01A.11R.A29S.07,2.839017763,1.627937632,1.917302363,6.381048618,3.283164052,1.806729831,2.853557537,1.861717747,3.930105708,4.373571655,0.84695533,2.967128492,0.275831291,2.994815025
TCGA.OR.A5L5.01A.11R.A29S.07,5.24832325,3.168828879,7.543737198,8.397204184,5.770445322,4.802984253,6.234811814,2.861842806,6.455950796,2.577730931,2.674129399,9.22320827,3.920006405,5.145979004
TCGA.OR.A5JL.01A.11R.A29S.07,3.338255539,1.335460564,3.888436913,7.765398438,3.486097281,2.498919663,3.195387087,2.499886532,4.013586118,2.525868423,2.095896971,2.740059952,0.608097927,2.386341925
TCGA.OR.A5LJ.01A.11R.A29S.07,3.905798402,0.864401947,1.893321088,6.565449589,4.399498141,4.997814118,6.725578238,2.300913936,4.541890563,4.702602139,1.089775058,1.736565353,0.777566386,3.401166239
TCGA.OR.A5JF.01A.11R.A29S.07,2.365161086,0.547403409,2.439508938,5.593174645,4.048527156,1.746123517,2.353711914,1.717416213,2.554236637,2.39270209,0.792513309,1.441829489,0.275207611,1.88869455
TCGA.OR.A5JY.01A.31R.A29S.07,3.015945466,1.24322447,3.35350052,7.965128414,2.867979261,2.174368061,1.30916184,3.616609703,2.740165752,2.97630864,1.742157244,0.745581752,0.307576891,2.453728272
