Sample number,Sample_ID,construct,instrument_type,read_pattern,expected_neg,panel,pooling,dsp_scan,dsp_collection_plate,dsp_collection_well,pcr_primer_plate,pcr_primer_well,Cell number,X-coordinate,Y-coordinate,,,,
1,ICP20th-Blank-NTC-NTC01-NTC01-A01,directPCR,Nextseq,2x38,0,ICP01,,,,A01,PP05,A01, , , ,,,,
2,ICP20th-L11-ICPKilo-ROI01-Tumor-A02,directPCR,Nextseq,2x38,0,ICP01,,,,A02,PP05,A02,572,0,8000,,,,
3,ICP20th-L11-ICPKilo-ROI01-TME-A03,directPCR,Nextseq,2x38,0,ICP01,,,,A03,PP05,A03,733,0,8000,,,,
4,ICP20th-L11-ICPKilo-ROI02-Tumor-A04,directPCR,Nextseq,2x38,0,ICP01,,,,A04,PP05,A04,307,600,8000,,,,
5,ICP20th-L11-ICPKilo-ROI02-TME-A05,directPCR,Nextseq,2x38,0,ICP01,,,,A05,PP05,A05,697,600,8000,,,,
6,ICP20th-L11-ICPKilo-ROI03-Tumor-A06,directPCR,Nextseq,2x38,0,ICP01,,,,A06,PP05,A06,583,1200,8000,,,,
7,ICP20th-L11-ICPKilo-ROI03-TME-A07,directPCR,Nextseq,2x38,0,ICP01,,,,A07,PP05,A07,484,1200,8000,,,,
8,ICP20th-L11-ICPKilo-ROI04-Tumor-A08,directPCR,Nextseq,2x38,0,ICP01,,,,A08,PP05,A08,506,1800,8000,,,,
9,ICP20th-L11-ICPKilo-ROI04-TME-A09,directPCR,Nextseq,2x38,0,ICP01,,,,A09,PP05,A09,706,1800,8000,,,,
10,ICP20th-L11-ICPKilo-ROI05-Tumor-A10,directPCR,Nextseq,2x38,0,ICP01,,,,A10,PP05,A10,851,2400,8000,,,,
11,ICP20th-L11-ICPKilo-ROI05-TME-A11,directPCR,Nextseq,2x38,0,ICP01,,,,A11,PP05,A11,552,2400,8000,,,,
12,ICP20th-L11-ICPKilo-ROI06-Tumor-A12,directPCR,Nextseq,2x38,0,ICP01,,,,A12,PP05,A12,868,3000,8000,,,,
13,ICP20th-L11-ICPKilo-ROI06-TME-B01,directPCR,Nextseq,2x38,0,ICP01,,,,B01,PP05,B01,268,3000,8000,,,,
14,ICP20th-L11-ICPKilo-ROI07-Tumor-B02,directPCR,Nextseq,2x38,0,ICP01,,,,B02,PP05,B02,827,3600,8000,,,,
15,ICP20th-L11-ICPKilo-ROI07-TME-B03,directPCR,Nextseq,2x38,0,ICP01,,,,B03,PP05,B03,503,3600,8000,,,,
16,ICP20th-L11-ICPKilo-ROI08-Tumor-B04,directPCR,Nextseq,2x38,0,ICP01,,,,B04,PP05,B04,1046,4200,8000,,,,
17,ICP20th-L11-ICPKilo-ROI08-TME-B05,directPCR,Nextseq,2x38,0,ICP01,,,,B05,PP05,B05,518,4200,8000,,,,
18,ICP20th-L11-ICPKilo-ROI09-Tumor-B06,directPCR,Nextseq,2x38,0,ICP01,,,,B06,PP05,B06,765,4800,8000,,,,
19,ICP20th-L11-ICPKilo-ROI09-TME-B07,directPCR,Nextseq,2x38,0,ICP01,,,,B07,PP05,B07,859,4800,8000,,,,
20,ICP20th-L11-ICPKilo-ROI10-Tumor-B08,directPCR,Nextseq,2x38,0,ICP01,,,,B08,PP05,B08,555,5400,8000,,,,
21,ICP20th-L11-ICPKilo-ROI10-TME-B09,directPCR,Nextseq,2x38,0,ICP01,,,,B09,PP05,B09,879,5400,8000,,,,
22,ICP20th-L11-ICPKilo-ROI11-Tumor-B10,directPCR,Nextseq,2x38,0,ICP01,,,,B10,PP05,B10,569,6000,8000,,,,
23,ICP20th-L11-ICPKilo-ROI11-TME-B11,directPCR,Nextseq,2x38,0,ICP01,,,,B11,PP05,B11,631,6000,8000,,,,
24,ICP20th-L11-ICPKilo-ROI12-Tumor-B12,directPCR,Nextseq,2x38,0,ICP01,,,,B12,PP05,B12,667,6600,8000,,,,
25,ICP20th-L11-ICPKilo-ROI12-TME-C01,directPCR,Nextseq,2x38,0,ICP01,,,,C01,PP05,C01,703,6600,8000,,,,
26,ICP20th-L11-ICPKilo-ROI13-Tumor-C02,directPCR,Nextseq,2x38,0,ICP01,,,,C02,PP05,C02,687,7200,8000,,,,
27,ICP20th-L11-ICPKilo-ROI13-TME-C03,directPCR,Nextseq,2x38,0,ICP01,,,,C03,PP05,C03,1049,7200,8000,,,,
28,ICP20th-L11-ICPKilo-ROI14-Tumor-C04,directPCR,Nextseq,2x38,0,ICP01,,,,C04,PP05,C04,305,8400,8000,,,,
29,ICP20th-L11-ICPKilo-ROI14-TME-C05,directPCR,Nextseq,2x38,0,ICP01,,,,C05,PP05,C05,670,8400,8000,,,,
30,ICP20th-L11-ICPKilo-ROI15-Tumor-C06,directPCR,Nextseq,2x38,0,ICP01,,,,C06,PP05,C06,403,0,7500,,,,
31,ICP20th-L11-ICPKilo-ROI15-TME-C07,directPCR,Nextseq,2x38,0,ICP01,,,,C07,PP05,C07,692,0,7500,,,,
32,ICP20th-L11-ICPKilo-ROI16-Tumor-C08,directPCR,Nextseq,2x38,0,ICP01,,,,C08,PP05,C08,367,600,7500,,,,
33,ICP20th-L11-ICPKilo-ROI16-TME-C09,directPCR,Nextseq,2x38,0,ICP01,,,,C09,PP05,C09,642,600,7500,,,,
34,ICP20th-L11-ICPKilo-ROI17-Tumor-C10,directPCR,Nextseq,2x38,0,ICP01,,,,C10,PP05,C10,521,1200,7500,,,,
35,ICP20th-L11-ICPKilo-ROI17-TME-C11,directPCR,Nextseq,2x38,0,ICP01,,,,C11,PP05,C11,818,1200,7500,,,,
36,ICP20th-L11-ICPKilo-ROI18-Tumor-C12,directPCR,Nextseq,2x38,0,ICP01,,,,C12,PP05,C12,744,1800,7500,,,,
37,ICP20th-L11-ICPKilo-ROI18-TME-D01,directPCR,Nextseq,2x38,0,ICP01,,,,D01,PP05,D01,564,1800,7500,,,,
38,ICP20th-L11-ICPKilo-ROI19-Tumor-D02,directPCR,Nextseq,2x38,0,ICP01,,,,D02,PP05,D02,1021,2400,7500,,,,
39,ICP20th-L11-ICPKilo-ROI19-TME-D03,directPCR,Nextseq,2x38,0,ICP01,,,,D03,PP05,D03,519,2400,7500,,,,
40,ICP20th-L11-ICPKilo-ROI20-Tumor-D04,directPCR,Nextseq,2x38,0,ICP01,,,,D04,PP05,D04,712,3000,7500,,,,
41,ICP20th-L11-ICPKilo-ROI20-TME-D05,directPCR,Nextseq,2x38,0,ICP01,,,,D05,PP05,D05,454,3000,7500,,,,
