Sample_ID	Tissue	Slide name	ROI	AOI name	AOI annotation	Mask type	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_02	NegGeoSD_02	GeoLOD2.5_02	NormFactorNeg_02	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
ICP20th-L11-ICPKilo-ROI01-Tumor-A02	L11	ICPKilo	ROI01	Tumor	PanCK	grid/seg	672940	672558	641836	637142	436485	31.4932934887356	ICP20th-L11-ICPKilo-ROI01-Tumor-A02	3.11700778919089	1.98639331339472	17.3340880836694	0.907470801062638	6.55279996666871	1.71233306897469	25.1418667658547	0.97362615495481	1.07991957000577	1.29226160573724
ICP20th-L11-ICPKilo-ROI01-TME-A03	L11	ICPKilo	ROI01	TME	TME	grid/seg	568000	567723	544733	540617	350171	35.2275270662965	ICP20th-L11-ICPKilo-ROI01-TME-A03	3.39125195792799	1.68002515106543	12.4065067486212	0.98731294209085	6.44480913577985	1.68018984139023	23.5833744493791	0.957580693780425	0.933290672334981	0.715715884495815
ICP20th-L11-ICPKilo-ROI02-Tumor-A04	L11	ICPKilo	ROI02	Tumor	PanCK	grid/seg	488949	488659	465456	462082	320123	30.7216035249155	ICP20th-L11-ICPKilo-ROI02-Tumor-A04	1.74910459361737	1.71764080121699	6.76311309737882	0.509225980190546	3.96664329467645	1.81065426474475	17.4989494872263	0.589370601684409	0.774071520615843	1.01358968043727
ICP20th-L11-ICPKilo-ROI02-TME-A05	L11	ICPKilo	ROI02	TME	TME	grid/seg	552232	551982	526343	522118	367346	29.6431074967728	ICP20th-L11-ICPKilo-ROI02-TME-A05	2.7867993199329	1.84704361745989	12.9210728229472	0.811335480145459	5.65482914769018	1.70366912917525	21.4231151832381	0.840204124648557	0.890005022906972	0.700358492182254
ICP20th-L11-ICPKilo-ROI03-Tumor-A06	L11	ICPKilo	ROI03	Tumor	PanCK	grid/seg	920885	920445	879678	873580	584396	33.1033219624991	ICP20th-L11-ICPKilo-ROI03-Tumor-A06	3.83870063036244	1.65048024867657	13.434146275556	1.11758101733166	7.97415708597237	1.74071343291279	31.8788751302689	1.18481381121235	1.54848785043626	2.04503760078061
ICP20th-L11-ICPKilo-ROI03-TME-A07	L11	ICPKilo	ROI03	TME	TME	grid/seg	394970	394768	376467	373589	252245	32.4806137225668	ICP20th-L11-ICPKilo-ROI03-TME-A07	2.2163247043591	1.88001692350712	10.7408285475114	0.6452502178064	4.31635472271163	1.94915896569697	22.8947169162899	0.641331319965687	0.714183970570423	0.65621201166957
ICP20th-L11-ICPKilo-ROI04-Tumor-A08	L11	ICPKilo	ROI04	Tumor	PanCK	grid/seg	1337967	1337323	1278784	1269535	795280	37.3565911928383	ICP20th-L11-ICPKilo-ROI04-Tumor-A08	4.58486854789732	1.8465657205702	21.244123201079	1.33481679075537	9.71050379608442	1.45008292643309	24.5880371221531	1.44280315616931	2.12533426116215	2.68716664953393
ICP20th-L11-ICPKilo-ROI04-TME-A09	L11	ICPKilo	ROI04	TME	TME	grid/seg	681681	681335	649375	644457	389376	39.5807633403004	ICP20th-L11-ICPKilo-ROI04-TME-A09	3.59066044291159	1.70814883086849	13.6926846855724	1.04536777860242	7.46256885185889	1.65323587983056	26.2255983951108	1.10880116198857	1.12760397595225	0.864398368222196
ICP20th-L11-ICPKilo-ROI05-Tumor-A10	L11	ICPKilo	ROI05	Tumor	PanCK	grid/seg	1183796	1183272	1134776	1126545	679357	39.6955292509398	ICP20th-L11-ICPKilo-ROI05-Tumor-A10	3.91024182347656	1.74160570399688	15.6523017793219	1.13840917953561	8.77691219665824	1.4581899273559	22.5360080258414	1.30408852976976	1.73219283483838	2.09196589263143
ICP20th-L11-ICPKilo-ROI05-TME-A11	L11	ICPKilo	ROI05	TME	TME	grid/seg	660990	660649	630812	625774	404335	35.3864174606168	ICP20th-L11-ICPKilo-ROI05-TME-A11	2.74365200755008	1.86561423686346	13.0431847165245	0.798773777134155	6.43795517257962	1.53439361339299	18.7754305043959	0.956562320280427	1.06960589822994	1.01057972801477
