"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI01.TME.A03",3.54856621676433,2.72117404915208,-0.383006991662345
"ICP20th.L11.ICPKilo.ROI02.TME.A05",3.19242661675534,3.37789927878129,0.0814728533593405
"ICP20th.L11.ICPKilo.ROI03.TME.A07",2.33112110243963,1.49247013623562,-0.643321890857829
"ICP20th.L11.ICPKilo.ROI04.TME.A09",4.38356680452503,3.22114044312339,-0.444533670242744
"ICP20th.L11.ICPKilo.ROI05.TME.A11",3.33834187349482,4.73025362906692,0.50278583474064
"ICP20th.L11.ICPKilo.ROI06.TME.B01",2.31338573085066,1.77174245050312,-0.384836937434655
"ICP20th.L11.ICPKilo.ROI07.TME.B03",2.55711033232929,3.53451025839467,0.466995918838502
"ICP20th.L11.ICPKilo.ROI08.TME.B05",3.39514240616977,5.57977713513323,0.716735411475483
"ICP20th.L11.ICPKilo.ROI09.TME.B07",6.05679926319234,3.98939624854671,-0.602385170955133
"ICP20th.L11.ICPKilo.ROI10.TME.B09",2.55073492221966,2.72335800671125,0.0944736695926773
"ICP20th.L11.ICPKilo.ROI100.TME.A11",5.09806187250327,6.5040854665997,0.351397332497835
"ICP20th.L11.ICPKilo.ROI101.TME.B01",9.65928514531832,10.8005531766605,0.161116876827049
"ICP20th.L11.ICPKilo.ROI102.TME.B03",3.20616500162664,3.47827167167344,0.117521945207353
"ICP20th.L11.ICPKilo.ROI103.TME.B05",4.01188220477713,4.4281494551447,0.142424668802622
"ICP20th.L11.ICPKilo.ROI104.TME.B07",2.02256372052726,1.87013657867087,-0.113041519251652
"ICP20th.L11.ICPKilo.ROI105.TME.B09",3.57205717484665,3.1948006022105,-0.161029281881884
"ICP20th.L11.ICPKilo.ROI106.TME.B11",2.30106825458619,2.65172796457124,0.204629002259536
"ICP20th.L11.ICPKilo.ROI107.TME.C01",2.95913334035002,3.15555613705202,0.092719582317077
"ICP20th.L11.ICPKilo.ROI108.TME.C03",5.06243747127993,7.14634959570033,0.4973743079994
"ICP20th.L11.ICPKilo.ROI109.TME.C05",2.36044999304041,1.62910458347242,-0.534982695872973
"ICP20th.L11.ICPKilo.ROI11.TME.B11",2.26433868302689,2.37757020764573,0.0703981813248842
"ICP20th.L11.ICPKilo.ROI110.TME.C07",17.6205446953145,15.2090720489945,-0.212326389671412
"ICP20th.L11.ICPKilo.ROI111.TME.C09",24.8538283979298,20.4276530182389,-0.282944637749455
"ICP20th.L11.ICPKilo.ROI112.TME.C11",4.81670057992979,3.37866025995941,-0.511593956523868
"ICP20th.L11.ICPKilo.ROI113.TME.D01",2.0735645925971,2.11568935385547,0.0290148238140127
"ICP20th.L11.ICPKilo.ROI114.TME.D03",1.92426101904788,1.90428330112698,-0.0150563837104427
"ICP20th.L11.ICPKilo.ROI115.TME.D05",2.83366173640669,2.42811970738322,-0.22282800039053
"ICP20th.L11.ICPKilo.ROI116.TME.D07",1.65706846823343,1.62280332739709,-0.0301450485890198
"ICP20th.L11.ICPKilo.ROI117.TME.D09",2.483460421274,1.23907012557665,-1.00309391524961
"ICP20th.L11.ICPKilo.ROI118.TME.D11",2.49086903986586,2.22086706327926,-0.165526133729733
"ICP20th.L11.ICPKilo.ROI119.TME.E01",2.71891964512468,1.86093625756245,-0.547004874849176
"ICP20th.L11.ICPKilo.ROI12.TME.C01",1.94249052071109,1.88537042984659,-0.0430595522004947
"ICP20th.L11.ICPKilo.ROI120.TME.E03",1.95942427877668,1.7840543334841,-0.135270268310262
"ICP20th.L11.ICPKilo.ROI121.TME.E05",1.43772091970177,1.23799672655151,-0.215776157258456
"ICP20th.L11.ICPKilo.ROI122.TME.E07",1.37783934514112,1.2295413997637,-0.164287368282167
"ICP20th.L11.ICPKilo.ROI123.TME.E09",3.05017503008301,4.54044731151951,0.573942402477398
"ICP20th.L11.ICPKilo.ROI124.TME.E11",8.61644895477584,8.72915474641015,0.0187485403022452
"ICP20th.L11.ICPKilo.ROI125.TME.F01",3.15294342847141,3.11490488681913,-0.017511173337915
"ICP20th.L11.ICPKilo.ROI126.TME.F03",2.69880172046065,2.76323759208962,0.0340406284069454
"ICP20th.L11.ICPKilo.ROI127.TME.F05",3.24553238854585,2.61800163692861,-0.309989154172869
"ICP20th.L11.ICPKilo.ROI128.TME.F07",1.85269899235322,1.51151209072365,-0.293635986758452
"ICP20th.L11.ICPKilo.ROI129.TME.F09",2.6044318610193,2.49589532700822,-0.0614112611315729
"ICP20th.L11.ICPKilo.ROI13.TME.C03",3.0344237701312,3.12766116929376,0.0436616506759007
"ICP20th.L11.ICPKilo.ROI130.TME.F11",2.08738602391669,2.17624256519804,0.0601419438703936
"ICP20th.L11.ICPKilo.ROI131.TME.G01",1.41756819928203,1.70181193349304,0.263653469249409
"ICP20th.L11.ICPKilo.ROI132.TME.G03",1.79452050331627,2.12450345359314,0.243527282120147
"ICP20th.L11.ICPKilo.ROI133.TME.G05",1.62224015257641,1.93090035120313,0.251286303922207
"ICP20th.L11.ICPKilo.ROI134.TME.G07",2.09324935036766,1.58136273572775,-0.404575843842201
"ICP20th.L11.ICPKilo.ROI135.TME.G09",29.8361182161683,25.3975398624419,-0.232371091273325
"ICP20th.L11.ICPKilo.ROI136.TME.G11",45.244896275295,39.4698311290558,-0.197004715471551
"ICP20th.L11.ICPKilo.ROI137.TME.H01",6.42321593114129,9.00212057587121,0.486969091781752
"ICP20th.L11.ICPKilo.ROI138.TME.H03",2.14926993018998,1.99479518418592,-0.107606059302984
"ICP20th.L11.ICPKilo.ROI139.TME.H05",2.55295270066794,2.73817143907351,0.101045968955804
"ICP20th.L11.ICPKilo.ROI14.TME.C05",1.33906874267295,1.47074512926547,0.135317233404875
"ICP20th.L11.ICPKilo.ROI140.TME.H07",2.11615018431098,2.22069637655713,0.0695701347888433
"ICP20th.L11.ICPKilo.ROI141.TME.H09",2.72906632441476,1.80817243537404,-0.593875190675025
"ICP20th.L11.ICPKilo.ROI142.TME.H11",1.63591376773573,1.76072671234525,0.106074298574208
"ICP20th.L11.ICPKilo.ROI143.TME.A02",2.18133318574179,2.27395549099586,0.0599938661383344
"ICP20th.L11.ICPKilo.ROI144.TME.A04",2.11330559721079,2.38234691869798,0.172882109475869
"ICP20th.L11.ICPKilo.ROI145.TME.A06",16.6392811129271,17.3655680834899,0.0616365023598018
"ICP20th.L11.ICPKilo.ROI146.TME.A08",13.5508497814501,26.784804409322,0.983031434466366
"ICP20th.L11.ICPKilo.ROI147.TME.A10",54.7285730439485,34.6864392723415,-0.657922492443895
"ICP20th.L11.ICPKilo.ROI148.TME.A12",16.3225050419833,28.5878113443063,0.808537685726559
"ICP20th.L11.ICPKilo.ROI149.TME.B02",1.50829537821771,1.99709931844526,0.404987094139198
"ICP20th.L11.ICPKilo.ROI15.TME.C07",2.12878427744039,1.91979816785268,-0.149075114641956
"ICP20th.L11.ICPKilo.ROI150.TME.B04",2.23851271451968,1.95463143301509,-0.195643915263937
"ICP20th.L11.ICPKilo.ROI151.TME.B06",1.93165097821341,1.95733887742341,0.0190591105464276
"ICP20th.L11.ICPKilo.ROI152.TME.B08",1.38186140777988,1.70010650269635,0.299012196899867
"ICP20th.L11.ICPKilo.ROI153.TME.B10",1.66002932199194,1.55384709441153,-0.0953641818896608
"ICP20th.L11.ICPKilo.ROI154.TME.B12",1.13745202973218,1.55766567604493,0.453579915799598
"ICP20th.L11.ICPKilo.ROI155.TME.C02",2.70681200769734,3.06003049777159,0.176951337980798
