"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI01.TME.A03",178.518767581652,126.716348387131,-0.494473085309121
"ICP20th.L11.ICPKilo.ROI02.TME.A05",286.842488943841,289.987753414999,0.0157332334299163
"ICP20th.L11.ICPKilo.ROI03.TME.A07",146.268529331497,157.773130746819,0.109232133615038
"ICP20th.L11.ICPKilo.ROI04.TME.A09",170.749024577241,218.46496390568,0.355524590557315
"ICP20th.L11.ICPKilo.ROI05.TME.A11",513.380031664717,436.61464047381,-0.23366667490558
"ICP20th.L11.ICPKilo.ROI06.TME.B01",239.720639252581,157.410098091269,-0.606826031357196
"ICP20th.L11.ICPKilo.ROI07.TME.B03",224.343675439694,158.097512327983,-0.504895846008829
"ICP20th.L11.ICPKilo.ROI08.TME.B05",277.870288835283,208.791612777963,-0.412347823642546
"ICP20th.L11.ICPKilo.ROI09.TME.B07",156.469481829957,125.006846649979,-0.323874184267015
"ICP20th.L11.ICPKilo.ROI10.TME.B09",210.93306823094,253.097327983012,0.262906990707167
"ICP20th.L11.ICPKilo.ROI100.TME.A11",83.6725579032315,70.1685823855414,-0.253929323553248
"ICP20th.L11.ICPKilo.ROI101.TME.B01",141.720580233499,151.905064898929,0.100120696468034
"ICP20th.L11.ICPKilo.ROI102.TME.B03",182.515520136538,172.539718123803,-0.0810906440452044
"ICP20th.L11.ICPKilo.ROI103.TME.B05",210.723823787119,239.922103109803,0.187212643716477
"ICP20th.L11.ICPKilo.ROI104.TME.B07",121.221550028256,97.5840581884,-0.312928808747128
"ICP20th.L11.ICPKilo.ROI105.TME.B09",65.8822368777108,60.9232400623224,-0.112896868960213
"ICP20th.L11.ICPKilo.ROI106.TME.B11",148.026200284257,137.512136750329,-0.106293596257708
"ICP20th.L11.ICPKilo.ROI107.TME.C01",213.296559245008,389.930672527624,0.870356950449241
"ICP20th.L11.ICPKilo.ROI108.TME.C03",104.22188021528,140.418523695969,0.430075078220138
"ICP20th.L11.ICPKilo.ROI109.TME.C05",163.732501361008,164.336519251186,0.00531238577646143
"ICP20th.L11.ICPKilo.ROI11.TME.B11",240.009667842855,379.719814974233,0.661842765002234
"ICP20th.L11.ICPKilo.ROI110.TME.C07",68.4755140990597,83.233035529101,0.281568061133029
"ICP20th.L11.ICPKilo.ROI111.TME.C09",75.4150804566325,93.474708925915,0.309723031245662
"ICP20th.L11.ICPKilo.ROI112.TME.C11",261.195503696129,268.381979851578,0.0391577448854807
"ICP20th.L11.ICPKilo.ROI113.TME.D01",186.928789067601,129.764756160549,-0.526590173381879
"ICP20th.L11.ICPKilo.ROI114.TME.D03",117.986292941325,83.160249371328,-0.50465327471012
"ICP20th.L11.ICPKilo.ROI115.TME.D05",26.1728752951961,20.713058273623,-0.337531841882472
"ICP20th.L11.ICPKilo.ROI116.TME.D07",95.1897012568504,70.4642215878172,-0.433914583388603
"ICP20th.L11.ICPKilo.ROI117.TME.D09",147.033883781204,253.887674765693,0.788041698885212
"ICP20th.L11.ICPKilo.ROI118.TME.D11",161.918727363949,221.271430576407,0.450547333826679
"ICP20th.L11.ICPKilo.ROI119.TME.E01",184.426203452381,165.049736406851,-0.160142815327486
"ICP20th.L11.ICPKilo.ROI12.TME.C01",219.091674145924,427.754234647706,0.965247476545361
"ICP20th.L11.ICPKilo.ROI120.TME.E03",76.3543611317587,58.8868011045012,-0.374766257352788
"ICP20th.L11.ICPKilo.ROI121.TME.E05",28.6233875474763,30.4312713758605,0.0883601852953593
