"","X4.1BB.CD137","ARG1","B7.H3","Bcl.2","Beta.2.microglobulin","CD11c","CD127","CD14","CD163","CD20","CD25","CD27","CD3","CD34","CD4","CD40","CD44","CD45","CD45RO","CD56","CD66b","CD68","CD8","CD80","CTLA4","EpCAM","ER.alpha","FAPalpha","Fibronectin","FOXP3","GAPDH","GITR","GZMB","Her2.ErbB2","Histone.H3","HLA.DR","ICOS","IDO1","Ki.67","LAG3","MART1","Ms.IgG1","Ms.IgG2a","NY.ESO.1","OX40L","PanCk","PD.1","PD.L1","PD.L2","PR","PTEN","Rb.IgG","S100B","S6","SMA","STING","Tim.3","VISTA"
"L09_ROI01_Tumor",41.80810023,105.3401979,1940.971916,170.8070027,2640.74628,806.4227918,1268.080769,213.2968569,63.51367188,76.89078989,202.3703679,21.88982947,322.5248949,615.6975184,397.2045909,452.9241568,12110.12436,1627.420378,306.8814056,938.2592648,52.05283524,303.3620812,221.1093886,13.24813753,408.1679314,13621.53601,47.22528025,25.04063826,962.8392585,33.20325986,4588.775271,34.3088068,211.3252982,438.515195,19519.53683,1605.991193,99.02015454,290.0218147,178.2510188,56.43817144,49.95229604,39.92867043,41.03421737,114.1477219,103.552897,12530.58229,31.32383005,32.55835747,41.86337758,52.07126102,107.9198074,34.69574823,301.6484834,5092.573013,5816.853667,22905.82711,201.3938015,274.6915638
"L09_ROI01_TME",24.35564663,45.10327019,616.9779083,400.9318724,3328.648773,1605.969831,354.4748482,314.3452825,57.54945885,838.0334307,157.5185344,86.46731647,2302.043954,1120.651965,1893.240032,697.3503494,6163.928718,12869.73479,1446.024082,137.3792056,49.21224191,405.649139,361.3390375,50.84628872,756.4324726,124.2829764,71.32554693,26.78286215,1371.036838,13.27513942,3873.859822,24.98779612,182.6673497,31.96529528,22757.51903,3937.098626,196.2526002,167.4540161,1445.17724,13.43615863,19.81729034,27.46272104,48.38925483,49.25398763,31.99511365,88.76929482,57.78204216,47.17862891,44.33991985,15.89319252,84.33828467,42.77743713,348.50521,4686.982984,14038.18561,4071.102392,145.9668969,603.6073501
"L09_ROI02_Tumor",33.88286308,75.58772045,1897.589679,143.3347784,2744.101208,730.6937432,1013.517642,192.1895732,35.74968749,48.68678067,172.8306041,22.17787402,303.9376826,562.978238,479.5125185,516.251623,21094.23845,1835.387089,332.8547927,1031.439156,86.04193716,219.1838542,173.894694,24.9221059,319.0776285,15634.05707,70.17392966,20.96443815,1539.775443,47.49201305,4105.370901,31.28797715,160.5842359,605.0937967,19340.80495,1896.525589,138.8170633,76.18510426,223.5335551,31.96003394,42.45158713,28.65575473,56.43410198,77.09984823,151.4181281,9877.367965,26.97561276,21.99119158,61.67987858,46.72661504,113.2789053,35.15230368,224.3736261,7321.610672,5914.08107,16946.808,169.5449931,305.1511184
"L09_ROI02_TME",17.54717984,76.69405533,413.527718,321.0748349,3447.015917,874.9307709,407.8263201,251.4849674,95.5045665,496.9486024,133.2814544,74.74983765,2306.93323,2911.519302,2226.194874,423.6097582,9787.675817,8062.112895,1461.091894,199.6309591,134.167427,314.7827887,390.3365644,21.91141532,2377.154763,419.4834228,112.8302532,26.66121295,3870.674895,18.26088001,3246.86814,20.62347364,153.7490625,34.01970772,26144.20691,1745.7188,157.0222391,124.3396937,444.946932,16.99754868,20.09024939,30.36917241,32.6251212,46.90732788,80.6809321,272.5924446,41.82939225,30.37737586,38.96638815,38.42496044,80.9434425,57.37493026,258.4004759,4699.338208,35300.66005,4661.446471,229.8360625,844.2498674
"L09_ROI03_Tumor",25.76954049,84.4763794,1331.204169,123.7647197,1828.981853,424.3269707,793.063519,152.4250051,56.79400396,25.93073445,144.3545611,7.662086059,82.14444016,434.8153242,182.7187227,321.9473159,13531.99622,904.534513,212.6685598,1209.814374,75.09489114,234.7306393,90.18264545,23.17969093,447.0983036,11734.07107,42.23281657,30.47640402,769.3787537,26.19939104,2651.114015,15.01253047,124.753376,234.4942215,12741.49031,884.9440742,66.45489508,103.3683111,74.9874285,21.29909477,42.28654789,36.87043095,44.4465469,68.27101365,76.18026378,15855.42441,31.97013468,17.18327575,59.92116671,43.39341305,89.59160095,34.68893941,104.668609,3665.915941,5299.444748,14765.90372,172.0369365,171.445892
"L09_ROI03_TME",26.95542351,129.7874966,1322.378593,197.3481113,2821.157492,321.6728332,297.7570638,282.759525,106.5169368,277.6838761,102.8033971,34.08140515,811.0141359,5135.466994,755.7268417,350.0047039,5122.276042,4103.289344,647.5610358,158.9366328,266.471567,359.2670462,251.4740282,29.45023398,5747.713558,402.2953579,107.7930181,43.21470556,5538.479252,12.15861656,2553.567562,26.69733967,155.4094869,36.59055362,14054.32841,938.7369617,89.72714911,94.73110805,245.5811138,34.88433266,25.07714666,31.07042699,36.49018768,50.09694135,126.3607167,344.929055,34.12441912,26.53962176,45.89590992,32.41819817,81.71221201,50.13995533,127.7658398,3089.9088,63420.11824,5353.519165,242.7852055,686.2305982
"L09_ROI04_Tumor",26.86140195,64.63709874,1027.621319,125.6624146,3301.070908,896.4918889,759.8757065,111.9850071,838.9599369,42.47298824,107.4850808,20.32861426,268.5350734,617.6346162,347.5600943,326.7972766,10231.78629,1195.500147,224.2857985,815.2761145,66.01865505,159.2342329,134.1491176,24.33512756,272.9757901,6807.697659,48.88735682,18.65101017,950.4515311,27.19692277,3044.654057,33.07840534,103.5180406,448.3150223,12434.81598,1200.454013,72.65012534,55.6175097,195.6283734,26.68377328,31.06528043,39.19672614,28.26269478,70.53831784,92.01165018,6914.255123,28.51926952,11.62480951,24.45354667,41.44668927,65.60418816,51.31494862,543.9581919,5012.266553,6125.702255,10779.84968,130.6360173,180.6680922
"L09_ROI04_TME",20.47849722,53.16259998,501.2447551,366.516113,3345.626984,489.8678122,448.9199743,341.8714113,187.2457093,526.9195623,153.7512569,67.46962073,2707.222538,2681.886521,2168.449895,410.6916148,10046.57768,9642.405487,1342.882148,195.463662,61.60488678,288.8919412,661.9824164,23.51387474,212.1010103,172.2061691,167.3944319,31.11376416,4052.384652,18.92647161,2645.178139,15.77205967,193.3759816,39.73002434,24839.71208,1505.071113,153.3575277,66.72336653,473.7661188,17.32408528,16.4130142,30.59184405,40.0596581,40.72350386,38.59461917,190.6748161,46.30438651,22.34642185,29.78607264,32.9038586,83.104333,46.38679495,295.0588394,5910.740746,12086.86871,3230.108665,193.810915,749.5551181
"L09_ROI05_Tumor",24.46068186,51.29196636,6661.065294,820.2777285,3488.928276,374.8587191,844.6809909,302.5102235,150.783452,48.67528041,200.2790102,7.800841198,189.9845247,727.2008146,309.3185286,1287.532531,3458.118645,1455.287529,266.803534,105.8404353,29.26750935,509.5319166,185.1694944,20.21984601,1770.96321,9881.565887,222.8366477,28.11091776,1230.236132,25.21533737,3184.974364,13.74785473,472.0944411,129.8007478,17928.55603,1237.29052,52.53878851,2288.911176,3403.16824,13.30490476,38.73351434,42.21969468,30.01396209,81.42897011,395.5215151,1096.432429,23.70602635,35.20632011,51.66929412,47.69094713,136.346564,44.86098897,107.0872575,11445.61404,24720.61147,7133.069505,154.0481574,316.4303365
"L09_ROI05_TME",22.65173592,44.67654086,2017.361135,209.7854962,3241.592908,739.2749622,288.6863023,610.3841182,338.4810666,89.13725302,138.9936827,23.61782629,990.633177,2801.929291,785.1025895,621.94637,8408.819753,5173.876425,750.1280625,137.0615019,50.43197286,797.5076009,511.4523532,68.62324898,7745.36233,1257.952438,56.18740485,31.58293307,1866.537984,11.98363162,2322.82041,10.52421851,1210.326238,41.31577968,6926.744626,2530.663448,130.144706,1277.161192,660.1274947,12.0350194,14.37830243,31.5521004,42.50797631,44.08044255,164.7492409,159.1685273,33.19650954,113.2997898,43.5151769,14.94356807,96.53709416,42.38464562,143.7624692,4712.948542,74115.42135,4980.53502,170.8643874,928.6903402
