TargetName	HUGOSymbol	TargetGroup	AnalyteType	Codeclass	Pooling	CorrelationToNegatives	GlobalOutliers
ABCF1	ABCF1	All Probes;Transport of small molecules	RNA	Endogenous	01	0.597304748597276	0
ABL1	ABL1	All Probes;Cell Cycle;Signaling by Rho GTPases;DNA Repair;Factors involved in megakaryocyte development and platelet production;Transcriptional regulation by RUNX1;Transcriptional regulation by RUNX2;Axon guidance	RNA	Endogenous	01	0.876279159269947	0
ACVR1B	ACVR1B	All Probes;Signaling by NODAL;Signaling by TGF-beta family members	RNA	Endogenous	01	0.43518948171217	0
ACVR1C	ACVR1C	All Probes;Signaling by NODAL;Signaling by TGF-beta family members	RNA	Endogenous	01	0.92750304508537	0
ACVR2A	ACVR2A	All Probes;Signaling by NODAL;Signaling by TGF-beta family members	RNA	Endogenous	01	0.776186572386407	0
ADA	ADA	All Probes;Metabolism of nucleotides	RNA	Endogenous	01	0.85136396655887	0
ADAM12	ADAM12	All Probes;Signaling by EGFR;Extracellular matrix organization	RNA	Endogenous	01	0.691353680398046	0
ADGRE1	ADGRE1	All Probes;GPCR ligand binding	RNA	Endogenous	01	0.90239447092988	0
AICDA	AICDA	All Probes	RNA	Endogenous	01	0.918493758749738	0
AIRE	AIRE	All Probes	RNA	Endogenous	01	0.927659109188281	0
AKT1	AKT1	All Probes;Intracellular signaling by second messengers;Cell Cycle;Metabolism of vitamins and cofactors;Signaling by VEGF;Signaling by NOTCH;Transcriptional Regulation by TP53;Costimulation by the CD28 family;Signaling by Nuclear Receptors;Diseases of signal transduction;Signaling by WNT;Interleukin-4 and Interleukin-13 signaling;Regulation of beta-cell development;Transcriptional regulation by RUNX2;Signaling by PTK6;Vesicle-mediated transport;mTOR signalling;Programmed Cell Death;Metabolism of RNA;GPCR downstream signalling;Platelet activation, signaling and aggregation;FOXO-mediated transcription	RNA	Endogenous	01	0.544571099330748	0
AKT2	AKT2	All Probes;FLT3 Signaling;Intracellular signaling by second messengers;Cell Cycle;Signaling by VEGF;Transcriptional Regulation by TP53;Costimulation by the CD28 family;Signaling by Nuclear Receptors;Diseases of signal transduction;Signaling by WNT;Regulation of beta-cell development;Transcriptional regulation by RUNX2;Vesicle-mediated transport;mTOR signalling;Programmed Cell Death;GPCR downstream signalling;FOXO-mediated transcription	RNA	Endogenous	01	0.594584114112858	0
AKT3	AKT3	All Probes;Intracellular signaling by second messengers;Cell Cycle;Signaling by VEGF;Transcriptional Regulation by TP53;Costimulation by the CD28 family;Signaling by Nuclear Receptors;Diseases of signal transduction;Regulation of beta-cell development;Transcriptional regulation by RUNX2;Vesicle-mediated transport;Programmed Cell Death;GPCR downstream signalling;FOXO-mediated transcription	RNA	Endogenous	01	0.794866915705491	0
ALCAM	ALCAM	All Probes;Axon guidance	RNA	Endogenous	01	0.465924264475537	0
